Smiles,Index,Atomid,E_energy_r,G_energy_r,conf_idxs_r,E_energy_p,G_energy_p,conf_idxs_p,deltaE_react,deltaG_react,BDE_G,Experiment
O=C=NC(Cl)(Cl)Cl,597,4,-1586.776933,-1586.788837,0,-1126.528395,-1126.541348,0,460.2485384,460.2474894,52.4611335,0
COS(=O)(=O)C(Cl)(Cl)Cl,598,6,-2082.401752,-2082.377279,0,-1622.151194,-1622.129122,0,460.2505578,460.2481568,52.879927,0
COC(=N)C(Cl)(Cl)Cl,599,5,-1627.285652,-1627.246761,0,-1167.040636,-1167.003296,0,460.2450164,460.2434654,49.9360735,0
CC(Cl)(Cl)Cl,600,2,-1458.640063,-1458.622846,0,-998.3794194,-998.3646694,0,460.2606431,460.2581761,59.16703775,0
ClC(Cl)Cl,601,0,-1419.319876,-1419.329107,0,-959.0555885,-959.0670735,0,460.2642876,460.2620336,61.587619,0
ClC(Cl)(Cl)Cl,602,0,-1878.907402,-1878.929083,0,-1418.657309,-1418.680065,0,460.2500933,460.2490183,53.42051825,0
ClCC1CO1,603,0,-652.7148101,-652.6664791,0,-192.4348548,-192.3907558,0,460.2799553,460.2757233,70.17790575,0
ClCc1nccs1,604,0,-1067.96677,-1067.924147,0,-607.7084541,-607.6678901,0,460.2583155,460.2562565,57.96248875,0
N#CCCl,605,3,-592.3413563,-592.3312423,0,-132.0806149,-132.0735639,0,460.2607414,460.2576784,58.854731,0
OCCCl,606,3,-614.6566588,-614.6126608,0,-154.3697329,-154.3304819,0,460.2869259,460.2821789,74.22879475,0
ClCC#CCCl,607,0,-1075.173891,-1075.139477,0,-614.9149416,-614.8840156,0,460.2589495,460.2554615,57.46362625,0
CO[Si](CCl)(OC)OC,608,4,-1134.535659,-1134.419505,0,-674.2542467,-674.1424267,0,460.2814128,460.2770788,71.028482,0
COC(=O)CCl,609,5,-727.9873183,-727.9375813,0,-267.7180867,-267.6704597,0,460.2692316,460.2671216,64.780339,0
ClCc1ccco1,610,0,-728.9366695,-728.8780305,0,-268.6793524,-268.6233304,0,460.2573171,460.2547001,56.98584775,0
CN(C)C(=O)C(Cl)(Cl)Cl,611,6,-1666.618257,-1666.553391,0,-1206.372739,-1206.309222,0,460.2455182,460.2441692,50.377708,0
CON(C)C(=O)C(Cl)(Cl)Cl,612,7,-1741.774405,-1741.707037,0,-1281.528356,-1281.461981,0,460.2460495,460.2450565,50.93448875,0
FC(F)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,613,4,-3075.203194,-3075.212674,0,-2614.962554,-2614.974623,0,460.2406398,460.2380508,46.538412,0
O=C1CCCCC1Cl,614,7,-769.5004853,-769.3900733,0,-309.2371944,-309.1299864,0,460.2632909,460.2600869,60.36606475,0
CC(Cl)C(=O)Nc1ccccc1,615,2,-939.1699551,-939.0326801,0,-478.900482,-478.767884,0,460.2694731,460.2647961,63.32108775,0
ClC(c1ccccc1)c1ccccc1,616,0,-962.1838169,-962.0228369,1,-501.9314739,-501.7706579,0,460.252343,460.252179,55.4038575,0
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,617,0,-2989.838339,-2989.835086,0,-2529.546531,-2529.545442,0,460.2918081,460.2896441,78.91320775,0
Clc1cc(Cl)c(Cl)cc1Cl,618,0,-2070.648185,-2070.621925,0,-1610.351158,-1610.326854,0,460.2970273,460.2950713,82.31877575,0
O=C1OC(Cl)(Cl)C(Cl)(Cl)O1,619,4,-2180.79372,-2180.794825,0,-1720.539191,-1720.542659,0,460.2545286,460.2521656,55.395449,0
FC(F)(F)CC(F)(Cl)Cl,620,7,-1435.331888,-1435.313142,0,-975.0660628,-975.0489388,0,460.2658254,460.2642034,62.9491685,0
Fc1c(F)c(F)c(C(Cl)(Cl)Cl)c(F)c1F,621,8,-2146.494082,-2146.476933,0,-1686.255516,-1686.240627,0,460.2385659,460.2363059,45.44348725,0
O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl,622,4,-3101.190802,-3101.197517,0,-2640.934877,-2640.94281,0,460.2559244,460.2547064,56.989801,0
